,Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
95,,294.0,9.0,,,,,,,CHINA:  BEIJING,40.3,116.0,,5.5,7.0,101.0,3.0,,,,,,,,,,,101.0,3.0,,,,,,,,,,
96,,304.0,,,,,0.0,,,SOUTH KOREA:  KYONGJU,35.5,129.1,,6.3,8.0,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,
97,,306.0,,,,,0.0,,,"LEBANON:  SUR (TYRE), SAYDA (SAIDA)",33.2,35.1,,,9.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
98,,315.0,,,,,,32.0,,ISRAEL:  AEROPOLIS,31.7,35.5,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
99,,319.0,6.0,17.0,,,,,,CHINA:  GANSU PROVINCE:  XIHE,34.1,105.3,,4.5,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,
100,,324.0,8.0,6.0,,,0.0,,,ITALY:  CAMPANIA,40.5,14.5,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
101,,334.0,,,,,0.0,,,ALBANIA:  DURRES,41.2,19.3,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
102,,340.0,,,,,0.0,,,TURKEY:  ANTAKYA (ANTIOCH),36.1,36.1,,,9.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
103,,341.0,,,,,0.0,,,TURKEY:  ANTAKYA (ANTIOCH),36.2,36.1,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,
104,,342.0,,,,,,,,ALBANIA:  DURRES,41.3,19.5,,,10.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
105,,342.0,,,,,,,,TURKEY:  ANTAKYA (ANTIOCH),36.2,36.1,,,,40000.0,4.0,,,,,,4.0,,,,,40000.0,4.0,,,,,,4.0,,,,
106,,344.0,4.0,11.0,,,,,,ITALY:  CAMPANIA,40.5,14.5,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
107,,344.0,,,,,,,,CHINA:  HENAN PROVINCE,35.4,114.3,,,,101.0,3.0,,,,,,,,,,,101.0,3.0,,,,,,,,,,
108,,344.0,,,,,,35.0,,TURKEY:  DARDANELLES,40.3,26.5,,,9.0,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
109,,346.0,,,,,,3474.0,,ALBANIA:  DURRES (DYRRACHIUM),41.4,19.4,,6.8,9.0,,,,,,,,2.0,,3.0,,,,,,,,,,2.0,,3.0,,
110,,348.0,,,,,,36.0,,LEBANON:  BAYRUT (BEROUTH),33.9,35.5,,,9.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
111,,350.0,10.0,,,,0.0,,,TURKEY,41.0,30.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
112,,355.0,,,,,0.0,,,"TURKEY:  IZMIT,NICOMEDIA",40.7,29.7,,,9.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
113,,358.0,8.0,24.0,,,,2314.0,,"TURKEY:  IZNIK, IZMIT [NICOMEDIA]",40.77,29.9,,,7.0,,3.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,3.0,,
114,,361.0,,,,,,,,BALKANS NW:  MACEDONIA:  STOBI,41.6,21.5,,,12.0,,,,,,,,4.0,,,,,,,,,,,,,,,,
115,,362.0,5.0,24.0,,,,37.0,,JORDAN:  AL-KARAK,31.3,35.6,,6.4,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
116,,362.0,12.0,2.0,,,,,,TURKEY,41.0,29.5,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,
117,,365.0,7.0,21.0,,,,38.0,,GREECE:  CRETE:  KNOSSOS,35.0,23.0,,8.0,11.0,,3.0,,,,,,4.0,,3.0,,3.0,5000.0,4.0,,,,,,4.0,,3.0,,
118,,367.0,10.0,11.0,,,0.0,,,"TURKEY:  IZNIK,NICAEA",40.7,29.7,,,,1000.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,,
